2020 National Employment Matrix title,Typical education needed for entry,Less than high school diploma,High school diploma or equivalent,"Some college, no degree",Associates degree,Bachelors degree,Masters degree,Doctoral or professional degree
"Communications teachers, postsecondary(1)",Doctoral or professional degree,0.6,1.4,2.0,1.8,14.6,32.1,47.4
"English language and literature teachers, postsecondary(1)",Doctoral or professional degree,0.6,1.4,2.0,1.8,14.6,32.1,47.4
"Foreign language and literature teachers, postsecondary(1)",Doctoral or professional degree,0.6,1.4,2.0,1.8,14.6,32.1,47.4
"History teachers, postsecondary(1)",Doctoral or professional degree,0.6,1.4,2.0,1.8,14.6,32.1,47.4
"Philosophy and religion teachers, postsecondary(1)",Doctoral or professional degree,0.6,1.4,2.0,1.8,14.6,32.1,47.4
"Family and consumer sciences teachers, postsecondary(1)",Doctoral or professional degree,0.6,1.4,2.0,1.8,14.6,32.1,47.4
"Recreation and fitness studies teachers, postsecondary(1)",Doctoral or professional degree,0.6,1.4,2.0,1.8,14.6,32.1,47.4
"Career/technical education teachers, postsecondary(1)",Bachelors degree,0.6,1.4,2.0,1.8,14.6,32.1,47.4
"Postsecondary teachers, all other(1)",Doctoral or professional degree,0.6,1.4,2.0,1.8,14.6,32.1,47.4
"Preschool teachers, except special education(1)",Associates degree,1.5,12.5,20.5,13.5,35.3,15.4,1.2
"Kindergarten teachers, except special education(1)",Bachelors degree,1.5,12.5,20.5,13.5,35.3,15.4,1.2
"Elementary school teachers, except special education(1)",Bachelors degree,0.0,0.0,3.1,2.3,43.6,46.8,4.2
"Middle school teachers, except special and career/technical education(1)",Bachelors degree,0.0,0.0,3.1,2.3,43.6,46.8,4.2
"Career/technical education teachers, middle school(1)",Bachelors degree,0.0,0.0,3.1,2.3,43.6,46.8,4.2
"Secondary school teachers, except special and career/technical education(1)",Bachelors degree,0.0,0.0,2.2,1.5,40.2,51.0,5.0
"Career/technical education teachers, secondary school(1)",Bachelors degree,0.0,0.0,2.2,1.5,40.2,51.0,5.0
"Special education teachers, preschool(1)",Bachelors degree,0.3,3.9,5.3,3.5,33.4,50.1,3.5
"Special education teachers, kindergarten and elementary school(1)",Bachelors degree,0.3,3.9,5.3,3.5,33.4,50.1,3.5
"Special education teachers, middle school(1)",Bachelors degree,0.3,3.9,5.3,3.5,33.4,50.1,3.5
"Special education teachers, secondary school(1)",Bachelors degree,0.3,3.9,5.3,3.5,33.4,50.1,3.5
"Special education teachers, all other(1)",Bachelors degree,0.3,3.9,5.3,3.5,33.4,50.1,3.5
"Adult basic education, adult secondary education, and English as a Second Language instructors(1)",Bachelors degree,2.0,10.9,17.7,8.6,36.0,20.2,4.6
Self-enrichment teachers(1),High school diploma or equivalent,2.0,10.9,17.7,8.6,36.0,20.2,4.6
"Substitute teachers, short-term(1)",Bachelors degree,2.0,10.9,17.7,8.6,36.0,20.2,4.6
"Tutors and teachers and instructors, all other(1)",Bachelors degree,1.9,9.9,16.6,8.4,37.1,21.5,4.7
Archivists(1),Masters degree,1.6,6.1,9.1,4.0,36.1,36.3,6.8
Curators(1),Masters degree,1.6,6.1,9.1,4.0,36.1,36.3,6.8
Museum technicians and conservators(1),Bachelors degree,1.6,6.1,9.1,4.0,36.1,36.3,6.8
Librarians and media collections specialists,Masters degree,0.2,2.0,7.5,4.4,23.0,57.7,5.2
Library technicians,Postsecondary nondegree award,2.0,31.8,18.5,8.1,27.5,11.0,1.0
Farm and home management educators(1),Masters degree,0.7,4.1,7.6,4.5,28.0,45.6,9.4
Instructional coordinators(1),Masters degree,0.7,4.1,7.6,4.5,28.0,45.6,9.4
"Teaching assistants, postsecondary(1)",Bachelors degree,4.2,25.7,24.4,14.4,22.8,7.1,1.4
"Teaching assistants, except postsecondary(1)","Some college, no degree",4.2,25.7,24.4,14.4,22.8,7.1,1.4
"Educational instruction and library workers, all other(1)",Bachelors degree,0.7,4.1,7.6,4.5,28.0,45.6,9.4
Art directors(1),Bachelors degree,2.7,11.6,18.9,8.2,43.6,13.4,1.6
Craft artists(1),No formal educational credential,2.7,11.6,18.9,8.2,43.6,13.4,1.6
"Fine artists, including painters, sculptors, and illustrators(1)",Bachelors degree,2.7,11.6,18.9,8.2,43.6,13.4,1.6
Special effects artists and animators(1),Bachelors degree,2.7,11.6,18.9,8.2,43.6,13.4,1.6
"Artists and related workers, all other(1)",No formal educational credential,2.7,11.6,18.9,8.2,43.6,13.4,1.6
Commercial and industrial designers,Bachelors degree,2.0,5.2,14.9,5.5,58.7,12.5,1.2
Fashion designers,Bachelors degree,2.9,7.0,12.5,13.8,54.8,7.7,1.4
Floral designers,High school diploma or equivalent,10.2,36.1,22.3,10.1,17.6,3.0,0.7
Graphic designers,Bachelors degree,1.3,5.4,13.8,12.3,58.8,7.1,1.3
Interior designers,Bachelors degree,1.2,6.3,14.4,12.2,54.0,9.5,2.4
Merchandise displayers and window trimmers,High school diploma or equivalent,3.8,31.4,26.9,7.2,24.9,5.2,0.6
Set and exhibit designers(1),Bachelors degree,1.8,7.6,16.1,13.1,45.6,13.4,2.5
"Designers, all other(1)",Bachelors degree,1.8,7.6,16.1,13.1,45.6,13.4,2.5
Actors,"Some college, no degree",2.1,14.0,16.5,5.4,47.9,13.2,0.9
Producers and directors,Bachelors degree,0.5,5.3,13.1,5.6,58.3,15.0,2.1
Athletes and sports competitors,No formal educational credential,2.3,13.7,20.6,9.7,47.8,4.7,1.2
Coaches and scouts,Bachelors degree,1.4,9.8,16.6,6.3,40.4,22.9,2.6
"Umpires, referees, and other sports officials",High school diploma or equivalent,4.3,13.8,24.6,8.1,27.3,17.9,4.0
Dancers(1),No formal educational credential,4.4,36.9,21.6,7.7,24.1,4.9,0.5
