School,white,black,hispanic,asian,aian,nhpi,tom,ntr,unk,men,women,highest_degree,ownership,over_25,admissions_rate,sat_mid_reading,sat_mid_math,sat_mid_overall,region,avg_cost_public,avg_cost_private,faculy_salary,ft_faculty_rate,federal_loan_rate,grad_students,undergrads_non_degree_seeking,booksupply_cost,test_requirements,ten_yrs_after_entry_earnings,completion_rate,region_name
Carthage College,0.6819,0.0545,0.1407,0.0214,0.0053,0.0019,0.0305,0.0126,0.0511,0.4233,0.5767,4,2,0.0368,0.68,555.0,555.0,1161.0,3,,28191.0,8421.0,0.551,0.8444,104.0,16.0,1200.0,5.0,47975.5,0.5845,Great Lakes
Concordia University-Wisconsin,0.7312,0.0958,0.0043,0.0185,0.0083,0.0013,0.0314,0.0594,0.0499,0.3676,0.6324,4,2,0.2245,0.6413,,,1170.0,3,,23855.0,6971.0,1.0,0.5508,2468.0,281.0,1800.0,1.0,47975.5,0.5845,Great Lakes
Edgewood College,0.7609,0.0353,0.0925,0.0195,0.0038,0.0015,0.0361,0.0308,0.0195,0.2654,0.7346,4,2,0.15,0.7237,535.0,545.0,1134.0,3,,25601.0,6217.0,0.5867,0.6196,631.0,77.0,800.0,1.0,47975.5,0.5845,Great Lakes
Fox Valley Technical College,0.7759,0.0224,0.0499,0.0431,0.0087,0.0013,0.0075,0.0084,0.0828,0.5562,0.4438,2,1,0.3115,,,,,3,11127.0,,9043.0,1.0,0.1542,,5946.0,2016.0,,27754.0,0.5845,Great Lakes
The Professional Hair Design Academy,0.9697,0.0,0.0303,0.0,0.0,0.0,0.0,0.0,0.0,0.0303,0.9697,1,3,0.3939,,,,,3,,6815.0,,,0.4857,,,,,27754.0,0.5845,Great Lakes
Lakeland University,0.7116,0.0932,0.075,0.0481,0.0129,0.0006,0.0141,0.0252,0.0193,0.4291,0.5709,4,2,0.5467,0.7805,488.0,495.0,1019.0,3,,20687.0,6947.0,0.1847,0.7757,724.0,81.0,1100.0,1.0,47975.5,0.5845,Great Lakes
Lakeshore Technical College,0.7737,0.0205,0.0364,0.0949,0.0021,0.0026,0.0559,0.0,0.0139,0.4674,0.5326,2,1,0.4763,,,,,3,10780.0,,8307.0,0.677,0.2157,,711.0,2016.0,,27754.0,0.5845,Great Lakes
Maranatha Baptist University,0.8724,0.0086,0.0379,0.0121,0.0052,0.0,0.0414,0.0103,0.0121,0.4466,0.5534,4,2,0.08199999999999999,0.7668,564.0,542.0,1131.0,3,,18736.0,4642.0,0.5773,0.3635,192.0,213.0,1300.0,1.0,47975.5,0.5845,Great Lakes
Marquette University,0.6866,0.0389,0.1436,0.0678,0.0019,0.0011,0.0293,0.0242,0.0065,0.4573,0.5427,4,2,0.0128,0.8296,605.0,615.0,1255.0,3,,29756.0,10158.0,0.5713,0.451,3304.0,256.0,816.0,1.0,47975.5,0.5845,Great Lakes
Medical College of Wisconsin,,,,,,,,,,,,4,2,,,,,,3,,,,,,1477.0,,,,,0.5845,Great Lakes
Mid-State Technical College,0.8435,0.0151,0.0137,0.0265,0.0078,0.0009,0.0618,0.0,0.0307,0.4398,0.5602,2,1,0.4048,,,,,3,9998.0,,8299.0,0.4359,0.287,,621.0,2016.0,,27754.0,0.5845,Great Lakes
Milwaukee Area Technical College,0.3554,0.3024,0.1843,0.0615,0.0063,0.0009,0.0401,0.0048,0.0443,0.4219,0.5781,2,1,0.5131,,,,,3,9076.0,,10584.0,0.4615,0.4258,,961.0,2520.0,,27754.0,0.5845,Great Lakes
Milwaukee School of Engineering,0.6927,0.0216,0.0753,0.0517,0.002,0.0,0.0321,0.0572,0.0674,0.7381,0.2619,4,2,0.0912,0.6171,615.0,660.0,1293.0,3,,24440.0,9166.0,0.5793,0.6891,180.0,15.0,1000.0,1.0,47975.5,0.5845,Great Lakes
Moraine Park Technical College,0.8727,0.028999999999999998,0.0563,0.0133,0.0034,0.0,0.0229,0.0,0.0024,0.3396,0.6604,2,1,0.6466,,,,,3,9143.0,,8124.0,0.5418,0.2783,,1131.0,2015.0,,27754.0,0.5845,Great Lakes
Nashotah House,,,,,,,,,,,,4,2,,,,,,3,,,4718.0,0.4737,,57.0,,,,,0.5845,Great Lakes
Nicolet Area Technical College,0.8512,0.0099,0.0353,0.0044,0.0584,0.0033,0.0364,0.0011,0.0,0.3727,0.6273,2,1,0.3482,,,,,3,8114.0,,8338.0,0.3397,0.2194,,351.0,1654.0,,27754.0,0.5845,Great Lakes
Northcentral Technical College,0.8247,0.015,0.0351,0.0626,0.0114,0.0018,0.0204,0.0,0.0291,0.3913,0.6087,2,1,0.2603,,,,,3,10131.0,,7972.0,1.0,0.1798,,2839.0,2015.0,,27754.0,0.5845,Great Lakes
Northeast Wisconsin Technical College,0.7795,0.0339,0.0937,0.0415,0.0229,0.0008,0.0271,0.0,0.0006,0.3969,0.6031,2,1,0.2974,,,,,3,10340.0,,9120.0,0.9888,0.2025,,4886.0,1960.0,,27754.0,0.5845,Great Lakes
Ripon College,0.7791,0.0405,0.1007,0.0196,0.0013,0.0013,0.0288,0.0235,0.0052,0.4575,0.5425,3,2,0.0089,0.6952,540.0,565.0,1117.0,3,,20147.0,7694.0,0.9459,0.8017,,22.0,750.0,5.0,47975.5,0.5845,Great Lakes
Sacred Heart Seminary and School of Theology,,,,,,,,,,,,4,2,,,,,,3,,,6727.0,0.5862,,105.0,,,,,0.5845,Great Lakes
Saint Norbert College,0.8749,0.0193,0.0471,0.0122,0.0101,0.0005,0.0147,0.0137,0.0076,0.4179,0.5821,4,2,0.008,0.7979,580.0,575.0,1185.0,3,,26340.0,7949.0,0.8333,0.6454,81.0,26.0,950.0,1.0,47975.5,0.5845,Great Lakes
State College of Beauty Culture Inc,0.8293,0.0,0.0244,0.0976,0.0244,0.0,0.0,0.0,0.0244,0.0488,0.9512,1,3,0.3659,,,,,3,,11244.0,,,0.4688,,,,,27754.0,0.5845,Great Lakes
Southwest Wisconsin Technical College,0.9199,0.0248,0.0159,0.0028,0.0021,0.0,0.0269,0.0,0.0076,0.3899,0.6101,2,1,0.239,,,,,3,9955.0,,8077.0,0.6371,0.2812,,1191.0,2015.0,,27754.0,0.5845,Great Lakes
Viterbo University,0.8374,0.0418,0.0436,0.0168,0.0006,0.0006,0.0244,0.0221,0.0128,0.2648,0.7352,4,2,0.1936,0.7657,590.0,570.0,1155.0,3,,19992.0,6744.0,0.3931,0.6908,841.0,29.0,1000.0,1.0,47975.5,0.5845,Great Lakes
Chippewa Valley Technical College,0.8559,0.0172,0.0303,0.0439,0.009000000000000001,0.0007,0.0218,0.0011,0.02,0.396,0.604,2,1,0.2572,,,,,3,10773.0,,7461.0,0.5125,0.2716,,3573.0,2015.0,,27754.0,0.5845,Great Lakes
Waukesha County Technical College,0.7552,0.0668,0.092,0.0264,0.0032,0.0015,0.0272,0.0002,0.0274,0.5573,0.4427,2,1,0.3434,,,,,3,10165.0,,9314.0,0.2629,0.1487,,2839.0,2016.0,,27754.0,0.5845,Great Lakes
University of Wisconsin-Whitewater,0.8176,0.0401,0.0803,0.0156,0.0013,0.0008,0.0362,0.0073,0.0009,0.5156,0.4844,4,1,0.0914,0.7893,,,1105.0,3,15249.0,,7841.0,0.7535,0.5258,1428.0,614.0,580.0,1.0,47975.5,0.5845,Great Lakes
