School,white,black,hispanic,asian,aian,nhpi,tom,ntr,unk,men,women,highest_degree,ownership,admissions_rate,sat_mid_overall,region
Baldwin Wallace University,0.7859999999999999,0.0834,0.0578,0.014,0.0031,0.0007,0.0482,0.0058,0.001,0.4622,0.5378,4,2,0.7269,1175.0,3
Baldwin Wallace University,0.7859999999999999,0.0834,0.0578,0.014,0.0031,0.0007,0.0482,0.0058,0.001,0.4622,0.5378,4,2,0.7269,1175.0,3
Baldwin Wallace University,0.7859999999999999,0.0834,0.0578,0.014,0.0031,0.0007,0.0482,0.0058,0.001,0.4622,0.5378,4,2,0.7269,1175.0,3
Baldwin Wallace University,0.7859999999999999,0.0834,0.0578,0.014,0.0031,0.0007,0.0482,0.0058,0.001,0.4622,0.5378,4,2,0.7269,1175.0,3
Baldwin Wallace University,0.7859999999999999,0.0834,0.0578,0.014,0.0031,0.0007,0.0482,0.0058,0.001,0.4622,0.5378,4,2,0.7269,1175.0,3
Baldwin Wallace University,0.7859999999999999,0.0834,0.0578,0.014,0.0031,0.0007,0.0482,0.0058,0.001,0.4622,0.5378,4,2,0.7269,1175.0,3
Bluffton University,0.7346,0.1124,0.033,0.0045,0.006,0.0,0.0345,0.0345,0.0405,0.5697,0.4303,4,2,0.5497,1042.0,3
Bluffton University,0.7346,0.1124,0.033,0.0045,0.006,0.0,0.0345,0.0345,0.0405,0.5697,0.4303,4,2,0.5497,1042.0,3
Bowling Green State University-Main Campus,0.7909,0.0805,0.0426,0.0107,0.0017,0.0006,0.0333,0.0171,0.0227,0.4441,0.5559,4,1,0.7182,1083.0,3
Bowling Green State University-Main Campus,0.7909,0.0805,0.0426,0.0107,0.0017,0.0006,0.0333,0.0171,0.0227,0.4441,0.5559,4,1,0.7182,1083.0,3
Capital University,0.7551,0.0886,0.041,0.0197,0.0021,0.0008,0.0595,0.016,0.0172,0.3749,0.6251,4,2,0.7211,1146.0,3
Capital University,0.7551,0.0886,0.041,0.0197,0.0021,0.0008,0.0595,0.016,0.0172,0.3749,0.6251,4,2,0.7211,1146.0,3
Case Western Reserve University,0.447,0.0455,0.0886,0.2148,0.0023,0.0006,0.0531,0.1368,0.0112,0.5426,0.4574,4,2,0.2736,1436.0,3
Case Western Reserve University,0.447,0.0455,0.0886,0.2148,0.0023,0.0006,0.0531,0.1368,0.0112,0.5426,0.4574,4,2,0.2736,1436.0,3
Cedarville University,0.8829,0.0156,0.0115,0.0254,0.002,0.0,0.0303,0.0199,0.0124,0.4625,0.5375,4,2,0.7883,1244.0,3
