School,white,black,hispanic,asian,aian,nhpi,tom,ntr,unk,men,women,highest_degree,ownership,region
Empire Beauty School-Chandler,0.2712,0.2542,0.2203,0.0169,0.0678,0.0,0.0678,0.0,0.1017,0.0847,0.9153,1,3,6
Avalon School of Cosmetology-Mesa,0.4401,0.0563,0.3803,0.0282,0.0387,0.0,0.0423,0.0,0.0141,0.0317,0.9683,1,3,6
Eastern Arizona College,0.6051,0.0304,0.224,0.0073,0.062,0.005,0.0241,0.0075,0.0345,0.4632,0.5368,2,1,6
Embry-Riddle Aeronautical University-Prescott,0.6222,0.0149,0.1359,0.0565,0.0045,0.0059,0.0624,0.069,0.0288,0.7362,0.2638,4,2,6
Glendale Community College,0.4801,0.0227,0.3097,0.0783,0.0007,0.0007,0.026,0.0418,0.04,0.4508,0.5492,2,1,8
Glendale Community College,0.4801,0.0227,0.3097,0.0783,0.0007,0.0007,0.026,0.0418,0.04,0.4508,0.5492,2,1,8
Glendale Community College,0.4801,0.0227,0.3097,0.0783,0.0007,0.0007,0.026,0.0418,0.04,0.4508,0.5492,2,1,8
Glendale Community College,0.4801,0.0227,0.3097,0.0783,0.0007,0.0007,0.026,0.0418,0.04,0.4508,0.5492,2,1,8
Grand Canyon University,0.4791,0.1604,0.2165,0.0313,0.0095,0.0064,0.0417,0.0103,0.0449,0.2879,0.7121,4,3,6
Gateway Community and Technical College,0.8171,0.0719,0.052000000000000005,0.0108,0.0013,0.001,0.0398,0.0003,0.0057,0.4448,0.5552,2,1,5
Gateway Community and Technical College,0.8171,0.0719,0.052000000000000005,0.0108,0.0013,0.001,0.0398,0.0003,0.0057,0.4448,0.5552,2,1,5
Gateway Community and Technical College,0.8171,0.0719,0.052000000000000005,0.0108,0.0013,0.001,0.0398,0.0003,0.0057,0.4448,0.5552,2,1,5
Gateway Community and Technical College,0.8171,0.0719,0.052000000000000005,0.0108,0.0013,0.001,0.0398,0.0003,0.0057,0.4448,0.5552,2,1,5
Gateway Community and Technical College,0.8171,0.0719,0.052000000000000005,0.0108,0.0013,0.001,0.0398,0.0003,0.0057,0.4448,0.5552,2,1,5
Gateway Community and Technical College,0.8171,0.0719,0.052000000000000005,0.0108,0.0013,0.001,0.0398,0.0003,0.0057,0.4448,0.5552,2,1,5
Gateway Community and Technical College,0.8171,0.0719,0.052000000000000005,0.0108,0.0013,0.001,0.0398,0.0003,0.0057,0.4448,0.5552,2,1,5
Gateway Community and Technical College,0.8171,0.0719,0.052000000000000005,0.0108,0.0013,0.001,0.0398,0.0003,0.0057,0.4448,0.5552,2,1,5
Gateway Community and Technical College,0.8171,0.0719,0.052000000000000005,0.0108,0.0013,0.001,0.0398,0.0003,0.0057,0.4448,0.5552,2,1,5
Gateway Community and Technical College,0.8171,0.0719,0.052000000000000005,0.0108,0.0013,0.001,0.0398,0.0003,0.0057,0.4448,0.5552,2,1,5
Gateway Community and Technical College,0.8171,0.0719,0.052000000000000005,0.0108,0.0013,0.001,0.0398,0.0003,0.0057,0.4448,0.5552,2,1,5
Gateway Community and Technical College,0.8171,0.0719,0.052000000000000005,0.0108,0.0013,0.001,0.0398,0.0003,0.0057,0.4448,0.5552,2,1,5
Gateway Community and Technical College,0.8171,0.0719,0.052000000000000005,0.0108,0.0013,0.001,0.0398,0.0003,0.0057,0.4448,0.5552,2,1,5
Gateway Community and Technical College,0.8171,0.0719,0.052000000000000005,0.0108,0.0013,0.001,0.0398,0.0003,0.0057,0.4448,0.5552,2,1,5
Gateway Community and Technical College,0.8171,0.0719,0.052000000000000005,0.0108,0.0013,0.001,0.0398,0.0003,0.0057,0.4448,0.5552,2,1,5
Gateway Community and Technical College,0.8171,0.0719,0.052000000000000005,0.0108,0.0013,0.001,0.0398,0.0003,0.0057,0.4448,0.5552,2,1,5
Gateway Community and Technical College,0.8171,0.0719,0.052000000000000005,0.0108,0.0013,0.001,0.0398,0.0003,0.0057,0.4448,0.5552,2,1,5
Gateway Community and Technical College,0.8171,0.0719,0.052000000000000005,0.0108,0.0013,0.001,0.0398,0.0003,0.0057,0.4448,0.5552,2,1,5
Gateway Community and Technical College,0.8171,0.0719,0.052000000000000005,0.0108,0.0013,0.001,0.0398,0.0003,0.0057,0.4448,0.5552,2,1,5
Gateway Community and Technical College,0.8171,0.0719,0.052000000000000005,0.0108,0.0013,0.001,0.0398,0.0003,0.0057,0.4448,0.5552,2,1,5
Gateway Community and Technical College,0.8171,0.0719,0.052000000000000005,0.0108,0.0013,0.001,0.0398,0.0003,0.0057,0.4448,0.5552,2,1,5
Gateway Community and Technical College,0.8171,0.0719,0.052000000000000005,0.0108,0.0013,0.001,0.0398,0.0003,0.0057,0.4448,0.5552,2,1,5
Gateway Community and Technical College,0.8171,0.0719,0.052000000000000005,0.0108,0.0013,0.001,0.0398,0.0003,0.0057,0.4448,0.5552,2,1,5
Gateway Community and Technical College,0.8171,0.0719,0.052000000000000005,0.0108,0.0013,0.001,0.0398,0.0003,0.0057,0.4448,0.5552,2,1,5
Mesa Community College,0.4439,0.061,0.3199,0.0409,0.0367,0.0031,0.043,0.0197,0.0318,0.4663,0.5337,2,1,6
Mohave Community College,0.6572,0.0121,0.2368,0.017,0.0177,0.0048,0.0388,0.0055,0.01,0.3102,0.6898,2,1,6
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,0.6821,0.0333,0.1095,0.006,0.0262,0.0083,0.1024,0.0024,0.0298,0.95,0.05,1,3,6
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,0.6821,0.0333,0.1095,0.006,0.0262,0.0083,0.1024,0.0024,0.0298,0.95,0.05,1,3,6
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,0.6821,0.0333,0.1095,0.006,0.0262,0.0083,0.1024,0.0024,0.0298,0.95,0.05,1,3,6
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,0.6821,0.0333,0.1095,0.006,0.0262,0.0083,0.1024,0.0024,0.0298,0.95,0.05,1,3,6
Dine College,0.0029,0.0,0.0015,0.0015,0.9891,0.0,0.0,0.0051,0.0,0.3043,0.6957,3,1,6
Northern Arizona University,0.5485,0.0319,0.2532,0.0217,0.0264,0.0029,0.0572,0.0411,0.0171,0.38,0.62,4,1,6
Northland Pioneer College,0.441,0.0047,0.1149,0.0078,0.382,0.0023,0.0155,0.0,0.0318,0.3439,0.6561,2,1,6
Northland Pioneer College,0.441,0.0047,0.1149,0.0078,0.382,0.0023,0.0155,0.0,0.0318,0.3439,0.6561,2,1,6
