School,avg_cost_public,avg_cost_private,faculy_salary,ft_faculty_rate,federal_loan_rate,student_count,students_with_any_loan,students_with_pell_grant,married,veteran,grad_students,undergrads_non_degree_seeking,full_program_cost,avg_month_completion,three_yrs_after_not_working_not_enrolled,three_yrs_after_working_not_enrolled,booksupply_cost,test_requirements,ten_yrs_after_entry_earnings,completion_rate
University of Central Arkansas,15376.0,,7121.0,0.7652,0.4714,,,,,,1735.0,577.0,,,,,1200.0,1.0,47975.5,0.5845
Central Baptist College,,16619.0,5304.0,0.2667,0.6011,,,,,,,66.0,,,,,1350.0,1.0,47975.5,0.5845
Cossatot Community College of the University of Arkansas,4677.0,,5350.0,0.4937,0.0,,,,,,,540.0,,,,,240.0,,27754.0,0.5845
Crowley's Ridge College,,13796.0,4005.0,0.9474,0.731,,,,,,,25.0,,,,,600.0,,47975.5,0.5845
East Arkansas Community College,6290.0,,5211.0,0.5111,0.0521,,,,,,,560.0,,,,,2200.0,,27754.0,0.5845
Eastern College of Health Vocations-Little Rock,,12646.0,,,0.8658,,,,,,,,10700.0,10.0,,,,,27754.0,0.5845
Paul Mitchell the School-Little Rock,,18852.0,,,0.6377,,,,,,,,19425.0,11.0,,,,,27754.0,0.5845
National Park College,9424.0,,5268.0,1.0,0.4348,,,,,,,110.0,,,,,1500.0,,27754.0,0.5845
University of Arkansas Community College-Batesville,7236.0,,4078.0,0.2516,0.1478,,,,,,,507.0,,,,,1000.0,,27754.0,0.5845
Harding University,,19375.0,7375.0,0.7929,0.5137,,,,,,1100.0,30.0,,,,,1200.0,1.0,47975.5,0.5845
Henderson State University,10270.0,,6837.0,0.9955,0.463,,,,,,607.0,465.0,,,,,2000.0,1.0,47975.5,0.5845
Hendrix College,,19295.0,7474.0,1.0,0.4825,,,,,,12.0,5.0,,,,,1100.0,5.0,47975.5,0.5845
Hot Springs Beauty College,,9563.0,,,0.6667,,,,,,,,16495.0,13.0,,,,,27754.0,0.5845
Jefferson Regional Medical Center School of Nursing,,,6923.0,,0.6148,,,,,,,,13478.0,17.0,,,,,36066.0,0.5845
John Brown University,,21963.0,7083.0,0.9843,0.4419,,,,,,542.0,330.0,,,,,800.0,1.0,47975.5,0.5845
Career Academy of Hair Design,,11257.0,,,0.7726,,,,,,,,17160.0,11.0,,,,,27754.0,0.5845
Academy of Salon and Spa,,11630.0,,,0.5495,,,,,,,,16404.0,13.0,,,,,27754.0,0.5845
Arkansas State University Mid-South,6163.0,,4336.0,0.4175,0.0,,,,,,,741.0,,,,,1390.0,,27754.0,0.5845
Arkansas Northeastern College,4371.0,,5204.0,1.0,0.0,,,,,,,644.0,,,,,994.0,,27754.0,0.5845
New Tyler Barber College Inc,,17068.0,,,0.3509,,,,,,,,16900.0,13.0,,,,,27754.0,0.5845
Arkansas Northeastern College,4371.0,,5204.0,1.0,0.0,,,,,,,644.0,,,,,994.0,,27754.0,0.5845
Northwest Technical Institute,5136.0,,,,0.0,,,,,,,,,,,,1500.0,,27754.0,0.5845
Ouachita Baptist University,,19815.0,6374.0,1.0,0.6096,,,,,,,109.0,,,,,1100.0,1.0,47975.5,0.5845
Arkansas State University Three Rivers,6085.0,,4886.0,0.3211,0.1803,,,,,,,626.0,,,,,1200.0,,27754.0,0.5845
Ozarka College,4939.0,,4804.0,0.3864,0.187,,,,,,,352.0,,,,,1100.0,,27754.0,0.5845
University of the Ozarks,,12924.0,6720.0,0.7353,0.5206,,,,,,,12.0,,,,,,5.0,47975.5,0.5845
University of Arkansas Community College-Morrilton,5013.0,,5161.0,1.0,0.2003,,,,,,,185.0,,,,,1500.0,2.0,27754.0,0.5845
Philander Smith College,,14141.0,5808.0,1.0,0.82,,,,,,,,,,,,1200.0,,47975.5,0.5845
Phillips Community College of the University of Arkansas,4566.0,,4924.0,0.6484,0.0,,,,,,,836.0,,,,,1200.0,,27754.0,0.5845
Southeast Arkansas College,7010.0,,4872.0,0.4563,0.2817,,,,,,,264.0,,,,,1320.0,,27754.0,0.5845
Professional Cosmetology Education Center,,5780.0,,,0.5741,,,,,,,,16150.0,13.0,,,,,27754.0,0.5845
University of Arkansas-Pulaski Technical College,12030.0,,4828.0,1.0,0.4342,,,,,,,902.0,,,,,772.0,,27754.0,0.5845
University of Arkansas Hope-Texarkana,6696.0,,4520.0,0.5233,0.0,,,,,,,470.0,,,,,1136.0,,27754.0,0.5845
University of Arkansas Community College Rich Mountain,4696.0,,4648.0,0.3333,0.0,,,,,,,341.0,,,,,750.0,,27754.0,0.5845
Paul Mitchell the School-Arkansas,,23492.0,,,0.5894,,,,,,,,16888.0,12.0,,,,,27754.0,0.5845
Searcy Beauty College,,20625.0,,,0.6639,,,,,,,,17089.0,11.0,,,,,27754.0,0.5845
Shorter College,,13747.0,3487.0,1.0,0.8272,,,,,,,,,,,,500.0,,36066.0,0.5845
Williams Baptist University,,18444.0,5468.0,1.0,0.5929,,,,,,24.0,14.0,,,,,1250.0,1.0,47975.5,0.5845
South Arkansas Community College,8101.0,,4896.0,1.0,0.2363,,,,,,,298.0,,,,,1635.0,,27754.0,0.5845
Southern Arkansas University Main Campus,14270.0,,6850.0,0.6641,0.7623,,,,,,889.0,422.0,,,,,1600.0,1.0,47975.5,0.5845
Southern Arkansas University Tech,9554.0,,4295.0,0.661,0.1216,,,,,,,398.0,,,,,1500.0,,27754.0,0.5845
Velvatex College of Beauty Culture,,7685.0,,,0.3889,,,,,,,,15850.0,12.0,,,,,27754.0,0.5845
University of Arkansas-Fort Smith,9637.0,,6986.0,0.672,0.3504,,,,,,36.0,1346.0,,,,,1605.0,,47975.5,0.5845
Academy of Art University,,34145.0,8678.0,0.2086,0.4724,,,,,,3118.0,124.0,,,,,1972.0,,47975.5,0.5845
Academy of Chinese Culture and Health Sciences,,,,,,,,,,,133.0,,,,,,,,,0.5845
Avalon School of Cosmetology-Alameda,,15539.0,,,0.5,,,,,,,,10220.0,5.0,,,,,27754.0,0.5845
Allan Hancock College,3810.0,,8531.0,0.2798,0.0106,,,,,,,2865.0,,,,,1971.0,,36066.0,0.5845
American Academy of Dramatic Arts-Los Angeles,,38205.0,8594.0,0.1739,0.5133,,,,,,,,,,,,570.0,3.0,36066.0,0.5845
Berkeley School of Theology,,,6382.0,0.5,,,,,,,39.0,,,,,,,,,0.5845
American Film Institute Conservatory,,,8536.0,0.1412,,,,,,,334.0,,,,,,,,,0.5845
American Beauty College,,9579.0,,,0.4703,,,,,,,,19571.0,13.0,,,,,27754.0,0.5845
American Career College-Los Angeles,,18804.0,6035.0,,0.6026,,,,,,,,18850.0,9.0,,,,,27754.0,0.5845
American Conservatory Theater,,,10514.0,1.0,0.0,,,,,,34.0,8.0,,,,,500.0,3.0,27754.0,0.5845
American River College,4816.0,,8832.0,0.3996,0.0306,,,,,,,2599.0,,,,,1854.0,,27754.0,0.5845
Antelope Valley College,4775.0,,8669.0,0.1913,0.0707,,,,,,,1575.0,,,,,900.0,,36066.0,0.5845
The Creative Center,,38413.0,6000.0,,0.9487,,,,,,,,,,,,4900.0,3.0,47975.5,0.5845
Associated Technical College-Los Angeles,,22633.0,,,0.3766,,,,,,,,17000.0,8.0,,,,,27754.0,0.5845
Associated Technical College-San Diego,,23019.0,,,0.4675,,,,,,,,17250.0,8.0,,,,,27754.0,0.5845
Los Angeles Pacific University,,19232.0,7416.0,0.0769,0.7344,,,,,,334.0,56.0,,,,,1200.0,,47975.5,0.5845
Bakersfield College,4720.0,,10430.0,0.4946,0.0122,,,,,,,6435.0,,,,,1971.0,,36066.0,0.5845
Barstow Community College,9518.0,,9455.0,0.2529,0.0,,,,,,,277.0,,,,,2293.0,,36066.0,0.5845
Bellus Academy-Chula Vista,,19501.0,,,0.6261,,,,,,,,21128.0,11.0,,,,,27754.0,0.5845
Bethesda University,,16133.0,2083.0,0.1311,0.2676,,,,,,139.0,,,,,,400.0,,47975.5,0.5845
Biola University,,31859.0,7676.0,0.6093,0.563,,,,,,2060.0,12.0,,,,,1970.0,1.0,47975.5,0.5845
Brownson Technical School,,29628.0,,,0.7544,,,,,,,,16545.0,10.0,,,,,27754.0,0.5845
Bryan University,,17472.0,5128.0,0.1446,0.684,,,,,,,,,,,,,,36066.0,0.5845
Butte College,5070.0,,9099.0,0.3138,0.0516,,,,,,,851.0,,,,,1970.0,,36066.0,0.5845
California Institute of Integral Studies,,,8549.0,0.2886,0.6721,,,,,,1407.0,,,,,,,,47975.5,0.5845
Cabrillo College,8487.0,,8449.0,0.3951,0.014,,,,,,,1233.0,,,,,1746.0,,36066.0,0.5845
California Baptist University,,24707.0,9815.0,0.4411,0.6867,,,,,,2855.0,20.0,,,,,1970.0,1.0,47975.5,0.5845
California College of the Arts,,33876.0,9728.0,0.2392,0.3467,,,,,,394.0,11.0,,,,,1500.0,3.0,47975.5,0.5845
University of California-Hastings College of Law,,,17648.0,0.4658,,,,,,,979.0,,,,,,,,,0.5845
California Institute of Technology,,24274.0,20595.0,0.9289,0.0422,,,,,,1299.0,,,,,,1428.0,1.0,47975.5,0.5845
California Lutheran University,,26489.0,10402.0,1.0,0.5273,,,,,,1225.0,1.0,,,,,1971.0,1.0,47975.5,0.5845
California Polytechnic State University-San Luis Obispo,21595.0,,10598.0,0.6936,0.2894,,,,,,923.0,50.0,,,,,1941.0,1.0,47975.5,0.5845
Alliant International University-San Diego,,,8695.0,0.875,0.1085,,,,,,2905.0,304.0,,,,,1972.0,3.0,27754.0,0.5845
California State University-Bakersfield,5318.0,,9640.0,0.4915,0.3187,,,,,,1550.0,231.0,,,,,2058.0,2.0,47975.5,0.5845
California State University-Stanislaus,6019.0,,9678.0,0.5115,0.3243,,,,,,1251.0,37.0,,,,,1700.0,2.0,47975.5,0.5845
California State University-San Bernardino,7342.0,,9808.0,0.4995,0.3067,,,,,,2356.0,319.0,,,,,1971.0,1.0,47975.5,0.5845
California State Polytechnic University-Pomona,12734.0,,10766.0,0.4405,0.3197,,,,,,1604.0,81.0,,,,,1800.0,1.0,47975.5,0.5845
California State University-Chico,15017.0,,9692.0,0.5573,0.4363,,,,,,946.0,120.0,,,,,1970.0,1.0,47975.5,0.5845
California State University-Dominguez Hills,4215.0,,9761.0,0.4058,0.291,,,,,,2612.0,37.0,,,,,1970.0,2.0,47975.5,0.5845
California State University-Fresno,5464.0,,9653.0,0.5538,0.2707,,,,,,2757.0,385.0,,,,,1972.0,1.0,47975.5,0.5845
California State University-Fullerton,7991.0,,10392.0,0.4788,0.2631,,,,,,5110.0,248.0,,,,,2058.0,1.0,47975.5,0.5845
California State University-East Bay,11116.0,,10382.0,0.4538,0.3326,,,,,,2862.0,98.0,,,,,1972.0,2.0,47975.5,0.5845
California State University-Long Beach,9622.0,,10346.0,0.4785,0.3005,,,,,,5620.0,154.0,,,,,2058.0,1.0,47975.5,0.5845
California State University-Los Angeles,2768.0,,10216.0,0.3966,0.2561,,,,,,3874.0,54.0,,,,,2058.0,1.0,47975.5,0.5845
California State University-Northridge,8414.0,,10414.0,0.4396,0.2781,,,,,,5111.0,86.0,,,,,2058.0,1.0,47975.5,0.5845
California State University-Sacramento,9979.0,,9863.0,0.4812,0.3226,,,,,,3173.0,101.0,,,,,1970.0,1.0,47975.5,0.5845
University of California-Berkeley,15329.0,,17763.0,0.6757,0.2176,,,,,,11837.0,3.0,,,,,870.0,1.0,47975.5,0.5845
University of California-Davis,14669.0,,15374.0,0.8472,0.3027,,,,,,7652.0,20.0,,,,,1158.0,1.0,47975.5,0.5845
University of California-Irvine,14783.0,,16113.0,0.8182,0.3202,,,,,,6526.0,15.0,,,,,1390.0,1.0,47975.5,0.5845
California State University-Los Angeles,2768.0,,10216.0,0.3966,0.2561,,,,,,3874.0,54.0,,,,,2058.0,1.0,47975.5,0.5845
University of California-Riverside,12871.0,,14100.0,0.8728,0.4496,,,,,,3492.0,40.0,,,,,1436.0,1.0,47975.5,0.5845
University of California-San Diego,14232.0,,16447.0,0.8472,0.3197,,,,,,7942.0,5.0,,,,,1128.0,1.0,47975.5,0.5845
University of California-San Francisco,,,15881.0,0.6052,,,,,,,3180.0,,,,,,,,,0.5845
University of California-Santa Barbara,15884.0,,16692.0,0.8694,0.3143,,,,,,2965.0,12.0,,,,,1184.0,1.0,47975.5,0.5845
University of California-Santa Cruz,18186.0,,15094.0,0.7595,0.3887,,,,,,1977.0,,,,,,1085.0,1.0,47975.5,0.5845
Sofia University,,,5322.0,0.3036,0.8,,,,,,1340.0,1.0,,,,,,,47975.5,0.5845
California Beauty School,,13661.0,,,0.6442,,,,,,,,19632.0,12.0,,,,,27754.0,0.5845
Hope International University,,20318.0,5466.0,0.2093,0.6635,,,,,,497.0,,,,,,1917.0,1.0,47975.5,0.5845
Lock Haven University,20506.0,,10322.0,0.8841,0.7522,,,,,,410.0,64.0,,,,,1803.0,1.0,47975.5,0.5845
California Hair Design Academy,,21545.0,,,0.2885,,,,,,,,20095.0,13.0,,,,,27754.0,0.5845
California Institute of the Arts,,50412.0,9640.0,0.5986,0.4596,,,,,,499.0,6.0,,,,,2590.0,3.0,47975.5,0.5845
California State University Maritime Academy,20597.0,,10147.0,0.7474,0.4838,,,,,,30.0,,,,,,1300.0,2.0,47975.5,0.5845
California Western School of Law,,,11473.0,0.3958,,,,,,,793.0,,,,,,,,,0.5845
Canada College,1697.0,,10562.0,0.3973,0.0075,,,,,,,988.0,,,,,1971.0,,36066.0,0.5845
College of the Canyons,4088.0,,9028.0,0.2719,0.0133,,,,,,,2187.0,,,,,1971.0,,36066.0,0.5845
Career Academy of Beauty,,16192.0,,,0.5409,,,,,,,,20995.0,11.0,,,,,27754.0,0.5845
Casa Loma College-Van Nuys,,17673.0,4580.0,0.3125,0.7552,,,,,,,,40420.0,24.0,,,,,36066.0,0.5845
CET-San Diego,,18734.0,,,0.4108,,,,,,,,14500.0,8.0,,,,,27754.0,0.5845
CET-San Jose,,16430.0,,,0.4479,,,,,,,,15375.0,8.0,,,,,27754.0,0.5845
CET-El Centro,,6962.0,,,0.1159,,,,,,,,14500.0,8.0,,,,,27754.0,0.5845
CET-Colton,,16473.0,,,0.5075,,,,,,,,14500.0,9.0,,,,,27754.0,0.5845
CET-Watsonville,,9949.0,,,0.0958,,,,,,,,11486.0,6.0,,,,,27754.0,0.5845
CET-Salinas,,13181.0,,,0.1679,,,,,,,,12954.0,8.0,,,,,27754.0,0.5845
Cerritos College,4022.0,,10488.0,0.3611,0.0254,,,,,,,948.0,,,,,1972.0,,36066.0,0.5845
Cerro Coso Community College,7684.0,,10704.0,0.3708,0.0,,,,,,,1255.0,,,,,1971.0,,36066.0,0.5845
Chabot College,4192.0,,9946.0,0.3826,0.0091,,,,,,,1136.0,,,,,1971.0,,36066.0,0.5845
