School,white,black,hispanic,asian,aian,nhpi,tom,ntr,unk,men,women,highest_degree,ownership,over_25,admissions_rate,sat_mid_reading,sat_mid_math,sat_mid_overall,region,avg_cost_public,avg_cost_private,faculy_salary,ft_faculty_rate,federal_loan_rate,grad_students,undergrads_non_degree_seeking,booksupply_cost,test_requirements,ten_yrs_after_entry_earnings,completion_rate
Ross Medical Education Center-Brighton,0.8448,0,0.0517,0,0,0,0.0517,0,0.0517,0.0517,0.9483,1,3,0.5345,,,,,3,,18808,,,0.6667,,,,,27754,0.5845
Ross Medical Education Center-Ann Arbor,0.3448,0.4655,0.0345,0.0172,0.0172,0,0,0,0.1207,0.0345,0.9655,1,3,0.3966,,,,,3,,18106,,,0.6522,,,,,27754,0.5845
Taylortown School of Beauty Inc,0.1681,0.5398,0.1858,0.0177,0.0088,0,0.0619,0,0.0177,0.0265,0.9735,1,3,0.5575,,,,,3,,17617,,,0.5899,,,,,27754,0.5845
Pike-Lincoln Technical Center,0.7647,0.2059,0,0,0,0,0.0294,0,0,0.1765,0.8235,1,1,0.6471,,,,,4,4549,,,,0.7879,,,,,27754,0.5845
West Virginia Junior College-United Career Institute,0.8974,0.0641,0,0,0,0,0.0385,0,0,0.0256,0.9744,2,3,0.3718,,,,,2,,13667,3750,,0.9205,,,446,,27754,0.5845
CUNY Stella and Charles Guttman Community College,0.0553,0.2391,0.5781,0.0524,0.003,0.001,0.0257,0.0455,0,0.4486,0.5514,2,1,0.0186,,,,,2,3865,,9570,0.6538,0.0377,,10,1516,,36066,0.5845
Brandman University,0.587,0.094,0.1897,0.0451,0.0106,0.0083,0.0291,0.0002,0.036,0.3682,0.6318,4,2,0.8959,0.8929,,,,8,,21604,9007,0.1077,0.4043,4171,123,1968,3,47975.5,0.5845
New College of Florida,0.6895,0.0299,0.1795,0.0342,0,0,0.0385,0.0214,0.0071,0.3746,0.6254,4,1,0.0299,0.7308,660,610,1286,5,8516,,8541,0.875,0.3181,24,,1200,1,47975.5,0.5845
Montana Bible College,0,0,0,0,0,0,0,0,0,0,0,3,2,,0.4737,545,535,1063,7,,,,,0,,,300,1,27754,0.5845
Conservatory of Recording Arts and Sciences,0.5366,0.1338,0.2197,0.0096,0.008,0.0048,0.086,0.0016,0,0.8599,0.1401,1,3,0.2182,,,,,6,,19067,,,0.3772,,,,,27754,0.5845
Adrian's College of Beauty Turlock,0.2889,0.0111,0.5333,0.0333,0,0,0.1333,0,0,0,1,1,3,0.3444,,,,,8,,16080,,,0.8726,,,,,27754,0.5845
California Career School,0.5366,0.0244,0.2805,0.0488,0,0.0122,0.0366,0,0.061,0.9756,0.0244,1,3,0.4512,,,,,8,,6870,,,0,,,,,27754,0.5845
Dr. Ida Rolf Institute,0.8438,0.0625,0.0313,0.0313,0,0,0,0.0313,0,0.5,0.5,1,2,0.9375,,,,,7,,31124,,,0.3011,,,,3,27754,0.5845
Sunstate Academy,0.3817,0.1586,0.4328,0.0081,0.0054,0.0027,0.0054,0,0.0054,0.1183,0.8817,1,2,0.5968,,,,,5,,30052,,,0.5655,,,,,27754,0.5845
Elizabeth Grady School of Esthetics and Massage Therapy,0.4559,0.1379,0.2261,0.0498,0.0077,0,0.1034,0,0.0192,0.0421,0.9579,1,3,0.5556,,,,,1,,17130,,,0.4855,,,,,27754,0.5845
Ross Medical Education Center-Port Huron,0.878,0.0244,0.0244,0.0244,0,0,0.0244,0,0.0244,0.0244,0.9756,1,3,0.3415,,,,,3,,18422,,,0.6952,,,,,27754,0.5845
