School,white,black,hispanic,asian,aian,nhpi,tom,ntr,unk,men,women,highest_degree,ownership,over_25,admissions_rate,sat_mid_reading,sat_mid_math,sat_mid_overall,region,avg_cost_public,avg_cost_private,faculy_salary,ft_faculty_rate,federal_loan_rate,grad_students,undergrads_non_degree_seeking,booksupply_cost,test_requirements,ten_yrs_after_entry_earnings,completion_rate
Inter American University of Puerto Rico-Metro,0.0087,0.0058,0.9821,0.0011,0.0021,0.0002,0,0,0,0.4271,0.5729,4,2,0.289,0.2605,,,,9,,11810,5851,1,0.3354,2283,195,1718,3,47975.5,0.5845
Inter American University of Puerto Rico-Ponce,0.0018,0.0003,0.9966,0.0003,0.001,0,0,0,0,0.3882,0.6118,4,2,0.2084,0.3269,,,,9,,8702,5420,1,0.2303,417,136,1171,3,47975.5,0.5845
Inter American University of Puerto Rico-Fajardo,0,0.0017,0.9983,0,0,0,0,0,0,0.4002,0.5998,4,2,0.1955,0.5329,,,,9,,8192,5326,1,0.1541,121,22,1171,3,47975.5,0.5845
Inter American University of Puerto Rico-Guayama,0.0012,0.0012,0.9976,0,0,0,0,0,0,0.3079,0.6921,4,2,0.2365,0.4623,,,,9,,7563,4892,1,0.372,139,26,1171,3,47975.5,0.5845
Inter American University of Puerto Rico-Bayamon,0.0057,0.0021,0.9877,0.0002,0.0041,0.0002,0,0,0,0.5705,0.4295,4,2,0.1258,0.2682,,,,9,,7814,5615,1,0.1884,104,21,1171,3,47975.5,0.5845
Inter American University of Puerto Rico-School of Law,,,,,,,,,,,,4,2,,,,,,9,,,9432,1,,735,,,,,0.5845
Liceo de Arte y Tecnologia,0,0,1,0,0,0,0,0,0,0.8107,0.1893,1,3,0.2258,,,,,9,,6211,,,0.1658,,,,,27754,0.5845
Modern Hairstyling Institute-Bayamon,0,0,1,0,0,0,0,0,0,0.3276,0.6724,1,3,0.092,0.94,,,,9,,5353,,,0,,,,3,27754,0.5845
Modern Hairstyling Institute-Arecibo,0,0,1,0,0,0,0,0,0,0.1892,0.8108,1,3,0.027,0.8261,,,,9,,5354,,,0,,,,3,27754,0.5845
NUC University,0.0001,0.0012,0.9856,0.0004,0.0044,0.0006,0,0.0001,0.0077,0.3022,0.6978,4,3,0.6,0.4907,,,,9,,9357,2901,0.2414,0.5649,1225,20,781,3,47975.5,0.5845
Ponce Health Sciences University,0,0,0,0,0,0,0,0,0,0,0,4,3,,,,,,9,,,5052,0.5,,586,,600,,,0.5845
University of Puerto Rico-Aguadilla,0.0252,0.0141,0.9549,0,0.0022,0,0.0015,0,0.0022,0.458,0.542,3,1,0.0384,0.8676,520,509,1029,9,6218,,7156,0.6379,0.1176,,59,2168,1,47975.5,0.5845
University of Puerto Rico-Carolina,0.002,0.0255,0.9113,0,0,0,0.0034,0,0.0578,0.3869,0.6131,3,1,0.074,0.3865,511,480,990,9,8778,,6400,0.568,0.0663,,73,3252,1,47975.5,0.5845
University of Puerto Rico-Cayey,0,0,1,0,0,0,0,0,0,0.3493,0.6507,3,1,0.0516,0.8776,550,535,1085,9,8261,,6888,0.8889,0.0576,,42,2168,1,47975.5,0.5845
University of Puerto Rico-Humacao,0.0041,0.0314,0.8947,0,0.0032,0,0.0038,0,0.0628,0.365,0.635,3,1,0.0376,0.4832,,,,9,9537,,5892,0.6812,0.0636,,65,2168,3,47975.5,0.5845
University of Puerto Rico-Utuado,0.0046,0.0366,0.8366,0,0.0031,0,0.0031,0,0.116,0.5069,0.4931,3,1,0.0785,0.6303,,,,9,10585,,5764,0.831,0.0986,,20,2168,3,36066,0.5845
University of Puerto Rico-Mayaguez,0,0,0.936,0,0,0,0,0.0009,0.0631,0.5406,0.4594,4,1,0.0415,0.804,,,,9,10766,,8545,0.9313,0.169,855,211,2168,3,47975.5,0.5845
University of Puerto Rico-Medical Sciences,0,0,1,0,0,0,0,0,0,0.228,0.772,4,1,0.1854,,,,,9,,,6939,0.77,0.2312,1878,,,,47975.5,0.5845
University of Puerto Rico-Rio Piedras,0.0038,0.0365,0.8225,0.0003,0.0062,0.0001,0.0021,0,0.1287,0.3731,0.6269,4,1,0.0516,0.4881,,,,9,11714,,6322,0.7114,0.076,3141,119,2168,3,47975.5,0.5845
Universidad Ana G. Mendez-Carolina Campus,0,0,1,0,0,0,0,0,0,0.3768,0.6232,4,2,0.311,,,,,9,,6997,4121,1,0.1023,1584,,1700,,47975.5,0.5845
Universidad del Sagrado Corazon,0,0,1,0,0,0,0,0,0,0.3877,0.6123,4,2,0.1922,0.3685,,,,9,,12796,4295,0.3702,0.4258,303,61,2500,3,47975.5,0.5845
Seminario Evangelico de Puerto Rico,,,,,,,,,,,,4,2,,,,,,9,,,3717,0.2273,,147,,,,,0.5845
Universidad Central Del Caribe,0,0,0.8651,0,0,0,0,0,0.1349,0.1825,0.8175,4,2,0.2143,1,,,,9,,10072,3281,0.72,0.2656,408,,600,2,47975.5,0.5845
Universidad Politecnica de Puerto Rico,0.0019,0,0.997,0,0,0,0,0,0.0011,0.7633,0.2367,4,2,0.2428,,,,,9,,16057,3980,0.6364,0.5299,670,31,2356,,47975.5,0.5845
Pontifical Catholic University of Puerto Rico-Mayaguez,0,0,0.9944,0,0,0,0,0,0.0056,0.3477,0.6523,4,2,0.2328,0.9786,,,,9,,7696,3849,0.5652,0.4698,117,24,1735,2,47975.5,0.5845
Universidad Ana G. Mendez-Gurabo Campus,0,0,1,0,0,0,0,0,0,0.4034,0.5966,4,2,0.2959,,,,,9,,6588,4578,1,0.4306,2956,,1700,,47975.5,0.5845
College of Micronesia-FSM,0,0,0,0.0005,0.0179,0.9789,0,0,0.0026,0.4337,0.5663,2,1,0.1393,0.8011,,,,9,4093,,2878,1,0,,3,1600,2,36066,0.5845
Palau Community College,0.0023,0,0,0.0204,0,0.9773,0,0,0,0.458,0.542,2,1,0.3018,,,,,9,2623,,2043,0.9524,0,,3,1800,,36066,0.5845
University of the Virgin Islands,0.043,0.711,0.1135,0.008,0.0023,0,0.0132,0.0556,0.0533,0.3131,0.6869,4,1,0.2492,0.9836,475,435,913,9,10489,,7038,1,0.2073,234,106,1750,5,47975.5,0.5845
Stanford University,0.3237,0.0682,0.1653,0.2273,0.0081,0.0036,0.0934,0.1068,0.0036,0.4957,0.5043,4,2,0.0166,0.0434,735,770,1503,8,,11496,20865,0.9881,0.0766,10253,2,1245,1,47975.5,0.5845
Purdue University-Main Campus,0.6345,0.0275,0.0558,0.0913,0.001,0.0006,0.0372,0.1352,0.0167,0.5751,0.4249,4,1,0.0333,0.5983,640,675,1321,3,13986,,12655,0.9636,0.2889,10904,220,1190,1,47975.5,0.5845
Blue Hills Regional Technical School,0.537,0.4259,0,0,0,0,0.037,0,0,0.1481,0.8519,1,1,0.7778,0.0588,,,,1,17647,,,,0.8393,,,,3,27754,0.5845
EDP University of Puerto Rico Inc-San Juan,0,0,1,0,0,0,0,0,0,0.3028,0.6972,4,2,0.644,0.7048,,,,9,,5841,2330,0.9756,0.4676,120,10,600,3,36066,0.5845
City College-Fort Lauderdale,0.1837,0.5878,0.1837,0,0,0,0.0449,0,0,0.302,0.698,3,2,0.7265,,,,,5,,18771,3768,0.1887,0.8614,,,1231,,36066,0.5845
Georgia State University-Perimeter College,0.1823,0.4838,0.1337,0.0887,0.0013,0.0008,0.0527,0.0517,0.0051,0.3776,0.6224,2,1,0.2951,0.6932,,,,5,9184,,5331,0.5844,0.3062,,2014,2000,3,36066,0.5845
Georgia Piedmont Technical College,0.0893,0.7957,0.0372,0.0313,0.0017,0.0008,0.025,0.0093,0.0097,0.3663,0.6337,2,1,0.4469,,,,,5,5682,,4577,0.2431,0,,1042,1200,,27754,0.5845
ETI School of Skilled Trades,0.396,0.2718,0.2852,0.0235,0.0067,0.0034,0.0067,0,0.0067,0.9597,0.0403,1,3,0.4832,,,,,3,,27449,,,0.7698,,,,,27754,0.5845
Traxlers School of Hair,0.0112,0.9888,0,0,0,0,0,0,0,0.764,0.236,1,3,0.5169,,,,,5,,7485,,,0,,,,,27754,0.5845
Warren County Community College,0.6586,0.0848,0.1828,0.0192,0.0051,0,0.0222,0.0111,0.0162,0.3616,0.6384,2,1,0.1076,,,,,2,5915,,6487,1,0.0326,,2253,400,,36066,0.5845
Bais Medrash Elyon,1,0,0,0,0,0,0,0,0,1,0,3,2,0.1064,0.8065,,,,2,,,2350,,0,58,5,200,3,47975.5,0.5845
Antioch University-Los Angeles,0.4615,0.0839,0.1818,0.021,0,0,0.035,0.042,0.1748,0.3357,0.6643,4,2,0.7091,,,,,8,,,6371,,0.475,627,22,,,47975.5,0.5845
Antioch University-Santa Barbara,0.3846,0.0256,0.2436,0.0128,0.0128,0,0.0128,0.141,0.1667,0.3077,0.6923,4,2,0.5769,,,,,8,,,5898,,0.5517,247,,,,47975.5,0.5845
Antioch University-Seattle,0.3765,0.0588,0.0941,0.0471,0.0118,0.0118,0.0353,0.0118,0.3529,0.2118,0.7882,4,2,0.7529,,,,,8,,,5267,,0.3902,580,,,,27754,0.5845
Antioch University-Midwest,1,0,0,0,0,0,0,0,0,0.5,0.5,4,2,1,,,,,3,,,,,0.6923,12,,,,47975.5,0.5845
Mid-America Christian University,0.3916,0.1303,0.2964,0.0062,0.0491,0.0008,0.0148,0.0445,0.0663,0.3627,0.6373,4,2,0.6504,,,,,6,,20746,4894,1,0.7401,415,71,1632,,47975.5,0.5845
Ponca City Beauty College,0.7778,0,0.0278,0.0278,0.1389,0,0.0278,0,0,0.0833,0.9167,1,3,0.3889,,,,,6,,5387,,,0.2439,,,,,27754,0.5845
Francis Tuttle Technology Center,0.4805,0.1548,0.2234,0.0283,0.0458,0.0013,0.0659,0,0,0.5047,0.4953,1,1,0.1398,,,,,6,7769,,,,0,,1439,,,27754,0.5845
Central Technology Center,0.5988,0.0373,0.0394,0.0062,0.1637,0.0021,0.0173,0,0.1354,0.5041,0.4959,1,1,0.1015,,,,,6,,,,,0,,,,,27754,0.5845
Carrington College-Portland,0.3814,0.1488,0.307,0.0512,0.0233,0.014,0.0558,0.014,0.0047,0.1023,0.8977,1,3,0.3814,,,,,8,,20227,,,0.5921,,,,,27754,0.5845
Career Technology Center of Lackawanna County,0.8,0.0286,0.0714,0.0286,0,0.0143,0.0571,0,0,0.0857,0.9143,1,1,0.6429,0.75,,,,2,14897,,,,0.7624,,,,3,27754,0.5845
Houston Graduate School of Theology,,,,,,,,,,,,4,2,,,,,,6,,,4889,,,140,,,,,0.5845
Palo Alto College,0.1487,0.0463,0.767,0.0082,0.0021,0.0006,0.0213,0.0009,0.0051,0.3769,0.6231,2,1,0.2286,,,,,6,4986,,7180,0.5224,0.0319,,3047,1674,,36066,0.5845
Sebring Career Schools-Huntsville,0.4872,0.2564,0.2564,0,0,0,0,0,0,0.1282,0.8718,1,3,0.4103,,,,,6,,15129,,,0.5854,,,,,27754,0.5845
Central Texas Beauty College-Round Rock,0.2115,0.3077,0.2308,0.2436,0.0064,0,0,0,0,0.1026,0.8974,1,3,0.5897,,,,,6,,7545,,,0,,,,,27754,0.5845
Unification Theological Seminary,,,,,,,,,,,,4,2,,,,,,2,,,5333,,,108,,,,,0.5845
Athens Technical College,0.6303,0.2002,0.0914,0.0215,0.0046,0.0019,0.0152,0.0133,0.0215,0.3577,0.6423,2,1,0.2988,,,,,5,4937,,5193,1,0,,1080,900,,27754,0.5845
GateWay Community College-Central City,0.3167,0.0583,0.5333,0.0233,0.02,0,0.0233,0,0.025,0.4,0.6,1,1,0.395,,,,,6,2509,,,,0.086,,,,,27754,0.5845
Headmasters School of Hair Design,0.7857,0,0.0476,0,0.0714,0.0238,0.0714,0,0,0.0476,0.9524,1,3,0.3333,,,,,7,,13629,,,0.6667,,,,,27754,0.5845
The Salon Professional Academy-Nampa,0.507,0.0141,0.4085,0.0141,0,0.0282,0,0,0.0282,0.0141,0.9859,1,3,0.3944,,,,,7,,9728,,,0.4628,,,,,27754,0.5845
Beckfield College-Florence,0.8099,0.1521,0.0042,0.0099,0.0014,0.0028,0.0155,0,0.0042,0.0789,0.9211,3,3,0.6155,0.8675,,,1050,5,,28042,5023,1,0.8967,,,2000,5,36066,0.5845
Dorsey School of Business-Wayne,0.1749,0.7186,0.038,0.0038,0.0076,0,0.0304,0,0.0266,0.2776,0.7224,1,3,0.6464,,,,,3,,36005,,,0.8567,,,,,27754,0.5845
Ecumenical Theological Seminary,0,1,0,0,0,0,0,0,0,1,0,4,2,0.8333,,,,,3,,,2518,,0,40,3,,,27754,0.5845
Ross Medical Education Center-Saginaw,0.6437,0.1379,0.1034,0,0.0115,0,0.0345,0,0.069,0.0805,0.9195,1,3,0.5517,,,,,3,,19579,,,0.6686,,,,,27754,0.5845
Sussex County Community College,0.7546,0.0247,0.1425,0.0198,0.0015,0.0015,0.0307,0.0213,0.0035,0.5181,0.4819,2,1,0.2364,,,,,2,13089,,7148,0.0906,0.2909,,297,1481,,36066,0.5845
Landmark College,0.6584,0.0449,0.0623,0.0324,0.0075,0,0.0399,0.015,0.1397,0.6858,0.3142,4,2,0.0737,0.4702,,,,1,,47373,6597,1,0.3211,38,101,1500,5,36066,0.5845
Yeshiva Gedolah of Greater Detroit,1,0,0,0,0,0,0,0,0,1,0,3,2,,0.92,,,,3,,8226,4293,,0,7,,200,3,47975.5,0.5845
Collin County Community College District,0.4435,0.1291,0.2271,0.1057,0.0034,0.0023,0.0445,0.0256,0.0186,0.4558,0.5442,2,1,0.2017,,,,,6,6293,,7688,0.3688,0.0901,,9349,1800,,36066,0.5845
Owensboro Community and Technical College,0.8846,0.0378,0.0237,0.0129,0.0016,0.0008,0.0338,0,0.0048,0.415,0.585,2,1,0.278,,,,,5,5308,,5789,0.9231,0.1429,,1517,1000,,27754,0.5845
Jenny Lea Academy of Cosmetology,0.8851,0.046,0.023,0.0115,0,0,0.0345,0,0,0.0805,0.9195,1,3,0.4138,,,,,5,,11618,,,0.669,,,,,27754,0.5845
Moore Norman Technology Center,0.5835,0.0537,0.1412,0.0209,0.0388,0.001,0.0974,0,0.0636,0.5636,0.4364,1,1,0.0477,,,,,6,8220,,,,0,,440,,,27754,0.5845
Franklin County Career and Technology Center,0.9375,0.0313,0.0313,0,0,0,0,0,0,0.0313,0.9688,1,1,0.5313,0.4737,,,,2,20331,,,,0.8506,,,,3,27754,0.5845
Paul Mitchell the School-Knoxville,0.6742,0.1124,0.0449,0.0056,0,0,0.0281,0,0.1348,0.1742,0.8258,1,3,0.4326,,,,,5,,16439,,,0.6618,,,,,27754,0.5845
Ogle School Hair Skin Nails-Hurst,0.3846,0.1893,0.2781,0.0237,0.0296,0.0178,0.0533,0,0.0237,0.0178,0.9822,1,3,0.4083,,,,,6,,17342,,,0.6201,,,,,27754,0.5845
Tennessee College of Applied Technology Nashville,0.5328,0.2751,0.1004,0.0161,0.0062,0.0012,0.0347,0.0136,0.0198,0.5514,0.4486,1,1,0.4061,,,,,5,9107,,,,0,,40,,,27754,0.5845
ECPI University,0.4058,0.392,0.1101,0.0328,0.0065,0.0046,0.0341,0.0002,0.0137,0.4011,0.5989,4,3,0.673,0.7381,,,,5,,20489,5795,0.4025,0.4617,345,137,900,3,36066,0.5845
