Age,Race,Sex,Total,None,1st - 4th grade,5th - 6th grade,7th - 8th grade,9th grade,10th grade,11th grade2,High school graduate,"Some college, no degree","Associate's degree, occupational","Associate's degree, academic",Bachelor's degree,Master's degree,Professional degree,Doctoral degree
75 years and over,Hispanic,Male,696,37,93,74,62,32,26,18,196,67,12,13,42,12,7,5
18 to 24 years,Hispanic,Female,3251,15,8,19,24,25,47,440,987,1204,75,169,231,7,0,0
25 to 29 years,Hispanic,Female,2314,5,10,34,32,55,44,115,684,543,103,150,451,72,8,7
30 to 34 years,Hispanic,Female,2150,6,29,71,67,68,50,110,627,345,106,127,383,133,13,14
35 to 39 years,Hispanic,Female,2148,16,32,134,91,142,50,120,566,325,77,117,331,124,17,5
40 to 44 years,Hispanic,Female,2013,11,47,134,76,114,42,100,640,237,77,110,282,123,14,7
45 to 49 years,Hispanic,Female,1859,20,24,131,98,111,43,122,546,239,53,106,250,98,6,12
50 to 54 years,Hispanic,Female,1616,11,57,141,66,68,47,73,470,210,63,105,205,79,15,5
55 to 59 years,Hispanic,Female,1327,7,45,94,66,47,31,89,397,179,51,71,163,63,11,13
60 to 64 years,Hispanic,Female,1163,18,70,137,59,51,32,47,330,134,34,66,111,63,7,4
65 to 69 years,Hispanic,Female,841,35,55,88,56,39,29,44,207,98,18,29,97,33,5,9
70 to 74 years,Hispanic,Female,628,22,45,60,50,37,18,13,180,70,14,27,53,29,5,5
75 years and over,Hispanic,Female,972,41,104,113,90,52,45,31,271,79,31,16,66,22,5,4
18 to 24 years,Black,Male,2187,0,2,8,9,13,43,322,843,712,38,62,128,5,0,2
25 to 29 years,Black,Male,1697,1,0,7,13,19,37,80,639,412,80,93,266,37,5,7
30 to 34 years,Black,Male,1392,5,1,1,4,11,35,72,465,303,38,76,296,58,8,19
35 to 39 years,Black,Male,1304,5,4,13,11,17,19,88,423,229,33,67,245,125,5,19
40 to 44 years,Black,Male,1156,0,4,3,0,7,15,59,385,243,40,64,224,85,10,16
45 to 49 years,Black,Male,1215,6,5,3,20,6,18,64,457,218,39,70,165,128,9,6
50 to 54 years,Black,Male,1228,1,0,7,17,8,27,96,529,215,53,67,126,62,9,10
55 to 59 years,Black,Male,1159,5,3,6,19,16,25,74,468,175,52,72,172,51,13,7
60 to 64 years,Black,Male,1042,2,2,3,14,20,28,55,393,207,46,47,159,44,5,18
65 to 69 years,Black,Male,769,0,6,9,20,14,23,56,264,122,40,33,124,42,3,13
70 to 74 years,Black,Male,543,3,2,9,21,9,15,32,188,102,20,27,66,34,5,11
75 years and over,Black,Male,691,0,33,25,33,28,44,33,257,111,3,8,63,41,2,10
18 to 24 years,Black,Female,2248,13,8,2,8,16,49,277,725,829,44,75,188,11,0,0
25 to 29 years,Black,Female,1832,6,0,2,6,26,25,61,562,495,66,112,365,81,15,10
30 to 34 years,Black,Female,1585,3,10,3,12,11,25,43,390,329,103,131,341,140,9,34
35 to 39 years,Black,Female,1544,0,4,6,8,12,20,60,411,319,95,113,284,178,19,15
40 to 44 years,Black,Female,1407,2,6,5,10,15,13,34,384,257,87,96,300,163,16,21
45 to 49 years,Black,Female,1454,5,3,7,11,7,41,63,362,318,56,105,282,162,14,18
50 to 54 years,Black,Female,1454,4,3,3,10,16,34,81,415,300,65,117,262,120,7,18
55 to 59 years,Black,Female,1380,5,2,9,25,23,28,83,452,281,58,91,209,89,9,15
60 to 64 years,Black,Female,1364,10,2,11,22,18,33,110,441,253,67,110,189,76,6,16
65 to 69 years,Black,Female,1028,2,9,9,19,19,38,57,317,198,48,66,147,76,7,17
70 to 74 years,Black,Female,688,4,10,23,28,18,40,55,198,118,25,55,59,43,8,6
75 years and over,Black,Female,1115,12,18,22,68,42,85,90,441,135,27,23,70,60,5,17
18 to 24 years,Asian,Male,913,0,2,2,7,5,12,70,144,432,16,18,167,32,2,3
25 to 29 years,Asian,Male,826,0,0,0,6,0,6,7,116,85,26,16,333,204,13,13
30 to 34 years,Asian,Male,805,0,0,0,0,3,8,1,115,65,22,20,289,195,20,67
35 to 39 years,Asian,Male,765,0,3,3,2,2,2,20,110,69,16,33,257,173,21,55
40 to 44 years,Asian,Male,738,3,7,6,3,3,2,12,105,55,9,46,226,182,16,64
45 to 49 years,Asian,Male,681,0,1,3,10,10,4,15,140,68,20,31,199,89,35,55
50 to 54 years,Asian,Male,551,0,3,6,5,14,9,20,102,48,6,20,131,132,9,47
55 to 59 years,Asian,Male,495,6,4,16,10,0,6,16,115,47,20,14,127,58,18,39
60 to 64 years,Asian,Male,501,8,5,6,4,6,6,11,120,44,14,11,147,77,8,34
65 to 69 years,Asian,Male,377,8,4,20,8,4,0,12,99,42,8,9,113,31,10,10
70 to 74 years,Asian,Male,257,0,0,10,11,4,4,6,72,17,2,9,64,30,13,14
75 years and over,Asian,Male,385,4,11,22,8,9,4,13,87,40,11,9,99,43,13,12
18 to 24 years,Asian,Female,866,4,4,4,0,11,6,64,109,377,15,22,209,37,4,0
25 to 29 years,Asian,Female,830,0,0,3,10,0,0,8,102,74,22,23,347,202,21,17
30 to 34 years,Asian,Female,887,0,3,1,9,5,10,8,102,58,23,53,349,192,26,49
35 to 39 years,Asian,Female,832,2,4,3,0,9,4,14,122,94,30,29,287,155,23,54
40 to 44 years,Asian,Female,815,7,7,6,8,5,0,5,98,51,15,54,289,193,29,48
45 to 49 years,Asian,Female,745,9,2,18,2,22,11,37,148,54,20,35,222,112,24,30
50 to 54 years,Asian,Female,675,7,7,8,7,10,11,12,172,39,18,38,195,105,19,27
55 to 59 years,Asian,Female,571,13,4,17,9,22,2,15,148,46,21,29,172,59,5,7
60 to 64 years,Asian,Female,601,16,3,27,21,6,13,12,142,60,18,34,160,64,2,21
65 to 69 years,Asian,Female,452,5,16,33,7,12,9,13,130,29,6,15,133,36,6,3
70 to 74 years,Asian,Female,337,17,12,29,6,2,9,11,92,19,11,10,84,18,10,7
75 years and over,Asian,Female,550,29,27,51,29,22,2,17,166,48,14,9,74,45,8,10
18 to 24 years,White,Male,10820,20,25,26,41,121,213,1416,3532,3642,266,399,1057,44,3,16
25 to 29 years,White,Male,8644,26,26,51,73,84,102,221,2618,1638,338,468,2444,435,50,73
30 to 34 years,White,Male,8264,26,39,100,102,111,127,274,2393,1195,371,437,2157,590,171,171
35 to 39 years,White,Male,8170,23,63,137,103,164,135,227,2270,1135,400,402,2014,804,119,172
40 to 44 years,White,Male,7395,44,56,163,95,145,119,197,2148,1062,321,449,1674,645,124,154
45 to 49 years,White,Male,7756,33,43,165,115,157,102,268,2260,1099,371,473,1617,740,120,195
50 to 54 years,White,Male,7876,17,36,142,118,141,105,265,2409,1199,351,369,1726,695,128,175
55 to 59 years,White,Male,8063,15,61,168,114,120,140,288,2450,1216,408,390,1704,686,151,152
60 to 64 years,White,Male,8152,13,56,150,116,90,113,233,2587,1250,369,454,1640,676,220,184
65 to 69 years,White,Male,6854,22,36,85,85,108,69,143,1789,1259,290,327,1567,701,163,211
70 to 74 years,White,Male,5655,10,47,60,94,62,91,101,1448,940,220,278,1245,695,140,225
75 years and over,White,Male,7813,43,114,145,262,117,173,238,2359,1206,249,265,1359,802,190,292
18 to 24 years,White,Female,10598,20,7,18,48,60,208,1170,2738,4050,242,524,1418,80,2,12
25 to 29 years,White,Female,8245,12,5,50,41,89,78,199,1887,1370,391,602,2655,724,61,81
30 to 34 years,White,Female,8021,3,23,82,92,107,80,216,1668,1132,417,564,2296,1061,115,162
35 to 39 years,White,Female,7966,12,39,108,102,142,115,173,1625,1045,361,542,2263,1136,112,191
40 to 44 years,White,Female,7372,16,29,145,137,159,67,204,1670,1005,344,496,1826,1016,118,139
45 to 49 years,White,Female,7796,25,48,138,102,135,86,173,1723,1139,390,569,2066,918,132,151
50 to 54 years,White,Female,8039,14,45,126,90,119,89,185,2105,1172,412,581,1982,904,91,124
55 to 59 years,White,Female,8861,9,69,118,103,112,124,232,2605,1474,425,646,1854,887,77,126
60 to 64 years,White,Female,8523,19,65,120,98,112,117,207,2563,1351,422,671,1702,857,89,132
65 to 69 years,White,Female,7432,21,47,94,102,78,116,142,2224,1282,374,529,1410,827,59,130
70 to 74 years,White,Female,6130,16,55,64,100,85,94,155,1939,1083,241,354,1034,706,78,126
75 years and over,White,Female,10423,29,114,197,351,214,213,304,4084,1808,424,396,1422,720,50,97
18 to 24 years,Hispanic,Male,3366,15,19,23,19,73,98,529,1215,1010,81,136,141,6,0,0
25 to 29 years,Hispanic,Male,2603,17,26,50,46,72,42,149,957,547,84,139,416,49,6,3
30 to 34 years,Hispanic,Male,2255,20,39,114,61,87,65,157,846,310,79,88,296,64,15,13
35 to 39 years,Hispanic,Male,2312,28,58,143,78,147,94,115,838,271,80,83,268,82,15,11
40 to 44 years,Hispanic,Male,2068,40,53,169,94,127,65,99,735,228,59,82,204,76,22,15
45 to 49 years,Hispanic,Male,1944,31,48,168,97,134,47,132,645,208,45,92,199,78,4,17
50 to 54 years,Hispanic,Male,1584,11,40,142,60,100,22,100,530,193,40,53,208,66,6,12
55 to 59 years,Hispanic,Male,1336,12,57,177,59,61,30,74,415,164,28,26,163,53,7,11
60 to 64 years,Hispanic,Male,1100,12,61,135,48,44,13,47,298,170,34,34,133,48,10,12
65 to 69 years,Hispanic,Male,781,18,36,86,56,37,18,30,205,113,28,28,84,27,9,6
70 to 74 years,Hispanic,Male,455,10,40,47,30,24,14,11,121,61,8,11,49,19,3,8
75 years and over,Hispanic,Male,746,37,84,95,53,31,19,34,191,64,15,11,66,30,7,9
18 to 24 years,Hispanic,Female,3276,15,2,13,8,44,95,415,965,1225,81,164,232,16,0,0
25 to 29 years,Hispanic,Female,2360,10,5,43,27,58,31,100,735,495,138,171,437,82,16,11
30 to 34 years,Hispanic,Female,2166,3,23,80,64,92,63,101,689,292,120,157,317,141,14,10
35 to 39 years,Hispanic,Female,2169,11,31,99,84,116,73,109,596,314,95,125,328,162,9,18
40 to 44 years,Hispanic,Female,2029,19,31,152,112,130,49,107,557,245,80,89,296,127,20,15
45 to 49 years,Hispanic,Female,1891,10,49,136,76,95,46,106,554,248,61,83,305,99,7,16
50 to 54 years,Hispanic,Female,1636,9,54,129,69,87,56,93,459,205,65,85,197,105,15,9
55 to 59 years,Hispanic,Female,1435,9,72,114,81,70,33,67,402,194,49,78,178,77,0,10
60 to 64 years,Hispanic,Female,1145,20,64,118,59,65,37,44,332,135,39,38,131,47,6,10
65 to 69 years,Hispanic,Female,858,16,49,84,53,43,25,28,259,85,10,32,107,40,10,15
70 to 74 years,Hispanic,Female,721,19,55,56,59,39,21,31,212,61,18,42,60,37,3,8
75 years and over,Hispanic,Female,982,24,100,145,61,61,36,39,271,76,32,19,86,24,2,6
18 to 24 years,Black,Male,2077,9,3,1,4,18,52,315,843,623,41,54,105,7,0,0
25 to 29 years,Black,Male,1759,11,3,4,4,23,24,126,535,375,73,80,434,62,0,4
30 to 34 years,Black,Male,1436,11,2,0,11,0,19,60,565,297,58,58,260,79,12,3
35 to 39 years,Black,Male,1318,1,0,1,0,30,49,85,437,240,69,69,235,73,7,21
